,customer_ID,customer_name,users,signup_date,logins,toal_logins,last_login,pipelines,templates,deployments,score,type
146,a3f3d7cf-a426-4671-8c69-95cfac412031,Company2.com,53,9/26/18,586,573,1/26/19,0,0,0,199,Trial
147,755ab597-37ee-431c-acd5-6ba8e3c8ba60,Company148.com,1,9/14/18,3,0,9/19/18,2,3,3,167,Paid
148,9bdd70d5-b0de-475a-b83b-f9f0857c14a4,Company2.com,2,6/8/18,3,0,8/14/18,0,0,0,31,Trial
149,e84ae6a5-795a-4b45-9e26-29c0638865a9,Company150.com,1,11/18/18,1,1,11/18/18,0,0,0,56.5,Trial
150,6625f30c-950d-4cb5-b1d9-adef42d51216,Company2.com,7,6/8/18,121,60,1/25/19,9,80,215,347,Trial
151,21b44552-c779-492a-82c9-5317ffd16ac1,Company2.com,8,8/20/18,4,0,8/26/18,0,0,0,90.5,Trial
152,92f70810-d864-40c1-b8a9-79d0ddea3196,Company2.com,4,6/8/18,40,14,1/24/19,4,5,11,267,Trial
153,b736ff6b-0b6b-4c1e-a7ef-0076ec7c5b75,Company154.com,2,6/29/18,35,1,1/3/19,3,24,65,237,Trial
154,f5929638-b2ae-4d18-abbc-8158308e9de9,Company2.com,7,6/8/18,129,30,1/25/19,6,39,146,334,Trial
155,cb65ab46-bf15-427e-b0e1-208f53eea823,Company156.com,2,5/23/18,3,1,1/3/19,0,0,0,67.5,Trial
156,b1b6d64b-499d-45d2-aadd-58044ddea5fa,Company2.com,20,1/5/19,1,1,1/4/19,0,0,0,136,Trial
157,d3d6032b-0bc8-408f-9f51-3509b8ff2385,Company2.com,2,6/8/18,3,0,9/10/18,0,0,0,31,Trial
158,a77f8cf9-ba62-4a72-81b9-7abc271f5ff6,Company159.com,1,9/28/18,2,1,10/31/18,2,1,0,117,Paid
159,6c2f8fe2-3a42-4aee-b9c2-ca21f46c3d82,Company160.com,2,6/29/18,22,5,12/17/18,0,0,0,127,Trial
160,e034b771-cf77-4220-9f83-671b5d318b33,Company2.com,6,9/5/18,6,3,12/20/18,2,0,0,158,Trial
161,558a4058-0503-43bd-9f44-5a3fbb3425a0,Company2.com,8,7/15/18,7,1,1/24/19,4,0,2,188,Trial
162,772f6cdb-3a65-4422-8516-f393ded20e6d,Company2.com,6,9/5/18,10,7,1/25/19,3,3,3,233,Trial
163,0885306b-0a4b-4642-a6a5-3024603a1abc,Company164.com,2,8/20/18,7,0,8/5/18,0,0,0,31,Trial
164,f6b2ca16-ca51-4778-9e5c-a99c64b09fc8,Company2.com,5,9/5/18,10,7,1/25/19,3,15,16,266,Trial
165,4ba66d29-5f94-4df7-bdbe-432a8737a371,Company2.com,1,8/20/18,6,2,11/12/18,0,0,0,75.5,Trial
166,264b3246-71e7-4fad-bde8-9ad73434ed1f,Company2.com,8,8/20/18,2,0,8/26/18,0,0,0,90.5,Trial
167,c787d1b8-9dae-4f1c-a6a0-9d09ce18b289,Company2.com,2,6/8/18,37,16,1/25/19,3,11,4,241,Trial
168,443ac3e7-bc29-4866-86a4-b07a9576a7c3,Company169.com,2,4/9/18,4,2,1/22/19,0,0,0,101.5,Trial
169,b80966bd-3dc0-4f0d-b0f3-50306849dc96,Company2.com,10,6/8/18,63,34,1/25/19,7,11,21,311,Trial
170,397459fe-9251-4856-95cd-2260b5d034a2,Company2.com,6,9/5/18,21,18,1/8/19,4,20,32,304,Trial
171,7448781b-68c1-470d-80af-2a0ca3150de6,Company2.com,7,6/8/18,10,1,1/16/19,0,0,0,114,Trial
172,7f8e5fa1-a668-42a5-bb4b-441eeb2b7021,Company2.com,5,9/5/18,11,8,1/25/19,3,9,4,242,Trial
173,84c1b1f7-b05f-4037-a9d1-92c9bb9a6716,Company174.com,2,9/12/18,10,6,11/9/18,1,8,8,222,Trial
174,debf915c-8051-4a9a-ab84-714369dec0d4,Company175.com,1,11/30/18,2,2,12/6/18,0,0,0,75.5,Paid
175,e32ccaea-3063-470a-b86b-34945457c3e4,Company133.com,33,8/20/18,136,82,1/24/19,4,26,14,319,Trial
176,e64d3560-76f0-4693-b427-1c4344787d57,Company2.com,6,9/5/18,7,4,12/20/18,1,4,3,212,Trial
177,e12ebd49-a5dc-4777-b71e-daa782d2f9f9,Company178.com,2,11/16/18,7,7,12/7/18,2,2,1,196,Trial
178,75894341-e9bd-4a91-8640-2732561cf60b,Company179.com,1,10/26/18,3,3,12/4/18,1,0,0,116,Paid
179,24d69470-1ee1-4f3e-98a9-b5424c1fc108,Company2.com,8,8/20/18,57,5,1/25/19,0,0,0,157,Trial
180,06bbff3b-3259-41f7-84fe-2ef429f603db,Company2.com,6,9/5/18,10,7,1/24/19,2,0,0,174,Trial
181,6358b766-6805-4bcd-aa93-d8a8864d9417,Company182.com,2,4/9/18,16,1,1/3/19,0,0,0,67.5,Trial
182,09d4ca70-a1e2-40ce-a0f2-53b2cb3786af,Company39.com,1,6/29/18,3,0,6/26/18,0,0,0,9,Trial
183,e74b1b6c-bccc-4367-8857-5b58fa5c481e,Company2.com,48,6/8/18,30,10,1/23/19,3,0,0,190,Trial
184,a0f7b12a-96f9-43ed-bfdf-3361f3669e1a,Company2.com,5,9/5/18,5,2,10/22/18,0,0,0,122.5,Trial
185,b09a4cf3-2201-46a3-a509-5711abd0d413,Company2.com,8,8/20/18,9,2,12/20/18,0,4,5,203,Trial
186,52653624-e475-481d-a473-e92df3a861cb,Company2.com,9,8/20/18,333,174,1/25/19,12,186,1323,364,Trial
187,682799f9-7fbc-4001-b11c-337993a5d339,Company2.com,4,6/8/18,9,2,1/21/19,2,2,3,193,Trial
188,e9eeabe7-9d12-4683-848d-3d83e8d460aa,Company2.com,9,8/20/18,14,2,11/7/18,2,1,1,194,Trial
189,c9258a19-fef0-4431-a999-d711e1741c60,Company2.com,22,6/8/18,717,270,1/25/19,10,109,82,357,Trial
190,8c095f38-85f7-4bd0-a836-8649d6ad1970,Company65.com,3,5/1/18,8,2,1/20/19,0,0,0,110,Trial
191,07dcbcf1-cea8-4171-bf47-a2858eb01aa9,Company2.com,3,8/15/18,2,0,8/21/18,0,0,0,49.5,Trial
192,6a8585c9-0bb4-4f25-bc60-55e84a84c82b,Company2.com,8,8/20/18,2,0,8/26/18,0,0,0,90.5,Trial
193,449d58e4-3401-4014-ac00-3c8966313216,Company2.com,4,6/8/18,8,1,11/27/18,0,0,0,105.5,Trial
194,4a430ec2-283f-44c6-84d5-8461052b220f,Company195.com,3,8/20/18,16,0,7/19/18,0,0,0,49.5,Trial
195,42f1359a-6ec1-4336-809b-e6123218205f,Company2.com,10,8/20/18,31,16,1/25/19,4,34,40,318,Trial
196,573ce8f1-e669-4e39-9c0b-19cbaaf22b57,Company2.com,2,6/8/18,0,0,0,0,0,0,31,Trial
197,3d60904f-eed6-436a-a0be-4ec8957432c9,Company2.com,8,6/8/18,187,100,1/25/19,8,159,621,360,Trial
198,594a97e8-2b1f-4f7c-ac74-d4738ac4b1f9,Company2.com,9,8/20/18,47,16,1/7/19,0,11,20,271,Trial
199,8dc64155-f01d-40de-8ad6-0a120ffe8b69,Company2.com,1,6/8/18,3,1,11/8/18,0,0,0,56.5,Trial
200,22b52754-09d5-4706-b42e-fe487da520f3,Company2.com,29,6/8/18,545,243,1/25/19,24,135,344,367,Trial
201,eb3f686d-45b9-4c47-ae49-8e3a7268ec3d,Company2.com,7,9/5/18,27,24,1/25/19,1,13,24,286.5,Trial
202,ef98a570-524e-496f-a3a5-8139b3a545ca,Company2.com,6,9/5/18,7,4,1/9/19,1,2,1,197,Trial
203,62f29b06-276d-4b38-81f5-0d292e185e90,Company2.com,5,6/8/18,13,2,1/22/19,2,0,0,148,Trial
204,06e93f79-6ec4-4ce0-b33d-908b322e535c,Company2.com,7,9/5/18,9,6,1/9/19,3,8,9,252,Trial
205,e50f422b-dc79-48dd-b430-1bb5ff545300,Company206.com,4,8/20/18,3,0,7/20/18,0,0,0,59,Trial
206,476f9454-caff-433e-8ea4-78fcfd73883f,Company2.com,9,8/20/18,18,5,12/20/18,0,4,3,213,Trial
207,fc050c1d-c35f-4b7c-ab44-c4d91fa4243b,Company208.com,1,9/14/18,8,3,11/30/18,2,0,0,126,Paid
208,57bb4ae2-1f61-4031-be03-0af213d85e68,Company209.com,2,9/21/18,3,2,10/25/18,2,5,3,189,Paid
209,2c8d4810-4770-45ca-a759-a4454607c41c,Company2.com,3,6/8/18,14,0,6/21/18,0,0,0,49.5,Trial
210,c1eddbb0-9455-4978-b172-585b96aead0e,Company2.com,1,9/8/18,1,0,9/7/18,0,0,0,9,Trial
